0	Iraq car bombings kill 22 People, wound more than 60
0	Dozens killed in Baghdad bombing
0	At least 130 die as blast levels Baghdad market
0	Homemade bombs kill 65 on Indian train
0	Ice storms kill 21 across nation
0	Two men killed by London tube train
0	7 Die As US Helicopter Crashes in Iraq
0	US helicopter crash kills 8 troops in Afghanistan
0	Small jet crashes on takeoff, killing 2
0	Collision on icy road kills 7
0	12 dead in Lebanese minibus bombings
0	Eight US soldiers killed in Zabul helicopter crash
0	Bomb kills 18 on military bus in Iran
0	Trolley Square shooting leaves 6 dead, including gunman
0	Study: More kids exposed to online porn
0	Bathing mom awakes to find baby dead
0	Double bus-bombing kills three in Lebanon
0	Iraqi death toll exceeded 34,000 in 2006, United Nations says
0	Trains crash near Thai resort town
0	Woman dies after water binge
0	North Africa feared as staging ground for terror
0	Teacher charged with sex assault
0	Floods force Malaysia evacuations
0	Man beheaded in southern Thailand
0	US soldiers die in day of violence
0	6 dead after Utah Mall shooting rampage
0	Mother, daughter stabbed near school
0	Memo from Frankfurt: Germany relives 1970s terror as 2 seek release from jail
0	Two Palestinians killed near fence
0	Thailand attacks kill three, injure 70
0	7 dead in apartment building fire
0	Second hanging also went awry, Iraq tape shows
0	PC World editor slain at California home
0	Bigger, more aggressive rats infesting UK
0	Iran says Sunnis, using Pakistan as base, planned fatal bombing
0	Indonesian with bird flu dies
0	EarthLink CEO dies at age 49
0	Terror officials see Al Qaeda chiefs regaining power
0	Iraqi suicide attack kills two US troops as militants fight purge
0	Terror network
0	Sri Lanka floods displace 60,000
0	Deaths as bird flu flares in Asia
0	Indonesian bird flu deaths hit 61
0	Massive mud traps dozens of families
0	Swiss plane crashes at Moscow airport
0	Sharks kill four people in 'dull' year
0	Al Qaeda group calls for attacks on U.S. oil
0	Beating leaves teen in coma
0	Storms kill, knock out power, cancel flights
0	Participant in water-drinking contest dies
0	Al Qaeda chiefs are seen to regain power
0	3 U.S. troops killed hunting weapons cache
0	Filipino woman kidnapped in Nigeria
0	Millionaire secret Santa dies
0	Investigation of child porn site hits 77 nations USA Today
0	Too young for this: facing cancer under 40
0	Iran to hit US interests if attacked
0	Indonesia flood forces 340,000 from homes
0	South Korea fire kills 10 foreigners
0	Oregon snorkeler mistaken for rodent, shot in face
0	Iran says it will strike US interests if Attacked
0	Porn ring scandal reaches Australia
0	Iran steps up production of weapons-grade uranium
0	Now it's official: Iraq's a mess
0	North Korea claims nuclear test
0	Samba school leader killed before Rio carnival
0	Israel intensifies military flights over Lebanon
0	Ice storm brings chaos in U.S.
0	EarthLink CEO dies at age 49
0	Militants attack U.S. base in Iraq
0	Gunmen abduct Filipino woman in Nigeria
